study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	read_count	experiment_title	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA904727	SAMN31851886	SRX18362912	SRR22392870	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753595	SINGLE	12463246	NextSeq 2000 sequencing: GSM6753595: I_F10_S262 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753595_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/070/SRR22392870/SRR22392870.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/070/SRR22392870	I_F10_S262	
PRJNA904727	SAMN31851889	SRX18362909	SRR22392873	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753592	SINGLE	11084493	NextSeq 2000 sequencing: GSM6753592: I_E10_S250 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753592_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/073/SRR22392873/SRR22392873.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/073/SRR22392873	I_E10_S250	
PRJNA904727	SAMN31851892	SRX18362906	SRR22392876	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753589	SINGLE	13209017	NextSeq 2000 sequencing: GSM6753589: I_D10_S238 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753589_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/076/SRR22392876/SRR22392876.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/076/SRR22392876	I_D10_S238	
PRJNA904727	SAMN31851904	SRX18362902	SRR22392880	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753577	SINGLE	18283189	NextSeq 2000 sequencing: GSM6753577: IV_H10_S190 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753577_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/080/SRR22392880/SRR22392880.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/080/SRR22392880	IV_H10_S190	
PRJNA904727	SAMN31851906	SRX18362900	SRR22392882	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753575	SINGLE	3772654	NextSeq 2000 sequencing: GSM6753575: IV_G11_S179 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753575_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/082/SRR22392882/SRR22392882.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/082/SRR22392882	IV_G11_S179	
PRJNA904727	SAMN31851907	SRX18362899	SRR22392883	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753574	SINGLE	15346163	NextSeq 2000 sequencing: GSM6753574: IV_G10_S178 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753574_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/083/SRR22392883/SRR22392883.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/083/SRR22392883	IV_G10_S178	
PRJNA904727	SAMN31851938	SRX18362892	SRR22392890	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753543	SINGLE	9570935	NextSeq 2000 sequencing: GSM6753543: III_D3_S39 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753543_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/090/SRR22392890/SRR22392890.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/090/SRR22392890	III_D3_S39	
PRJNA904727	SAMN31851959	SRX18362887	SRR22392895	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753522	SINGLE	14098607	NextSeq 2000 sequencing: GSM6753522: II_E6_S342 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753522_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/095/SRR22392895/SRR22392895.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/095/SRR22392895	II_E6_S342	
PRJNA904727	SAMN31851962	SRX18362884	SRR22392898	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753519	SINGLE	8835703	NextSeq 2000 sequencing: GSM6753519: II_D6_S330 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753519_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/098/SRR22392898/SRR22392898.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/098/SRR22392898	II_D6_S330	
PRJNA904727	SAMN31851964	SRX18362882	SRR22392900	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753517	SINGLE	10532812	NextSeq 2000 sequencing: GSM6753517: II_D4_S328 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753517_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/000/SRR22392900/SRR22392900.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/000/SRR22392900	II_D4_S328	
PRJNA904727	SAMN31851645	SRX18362873	SRR22392909	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753836	SINGLE	10974109	NextSeq 2000 sequencing: GSM6753836: III_F11_S71 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753836_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/009/SRR22392909/SRR22392909.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/009/SRR22392909	III_F11_S71	
PRJNA904727	SAMN31851649	SRX18362869	SRR22392913	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753832	SINGLE	13398607	NextSeq 2000 sequencing: GSM6753832: III_E10_S58 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753832_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/013/SRR22392913/SRR22392913.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/013/SRR22392913	III_E10_S58	
PRJNA904727	SAMN31851669	SRX18362857	SRR22392925	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753812	SINGLE	17018946	NextSeq 2000 sequencing: GSM6753812: II_F2_S350 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753812_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/025/SRR22392925/SRR22392925.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/025/SRR22392925	II_F2_S350	
PRJNA904727	SAMN31851671	SRX18362855	SRR22392927	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753810	SINGLE	17072185	NextSeq 2000 sequencing: GSM6753810: II_E3_S339 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753810_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/027/SRR22392927/SRR22392927.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/027/SRR22392927	II_E3_S339	
PRJNA904727	SAMN31851673	SRX18362853	SRR22392929	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753808	SINGLE	17683314	NextSeq 2000 sequencing: GSM6753808: II_E1_S337 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753808_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/029/SRR22392929/SRR22392929.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/029/SRR22392929	II_E1_S337	
PRJNA904727	SAMN31851674	SRX18362852	SRR22392930	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753807	SINGLE	18673896	NextSeq 2000 sequencing: GSM6753807: II_D3_S327 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753807_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/030/SRR22392930/SRR22392930.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/030/SRR22392930	II_D3_S327	
PRJNA904727	SAMN31851675	SRX18362851	SRR22392931	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753806	SINGLE	13028999	NextSeq 2000 sequencing: GSM6753806: II_D2_S326 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753806_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/031/SRR22392931/SRR22392931.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/031/SRR22392931	II_D2_S326	
PRJNA904727	SAMN31851694	SRX18362848	SRR22392934	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753787	SINGLE	16447948	NextSeq 2000 sequencing: GSM6753787: I_F4_S256 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753787_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/034/SRR22392934/SRR22392934.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/034/SRR22392934	I_F4_S256	
PRJNA904727	SAMN31851700	SRX18363016	SRR22392940	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753781	SINGLE	12730538	NextSeq 2000 sequencing: GSM6753781: I_D4_S232 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753781_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/040/SRR22392940/SRR22392940.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/040/SRR22392940	I_D4_S232	
PRJNA904727	SAMN31851987	SRX18362875	SRR22392907	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753494	SINGLE	4998265	NextSeq 2000 sequencing: GSM6753494: I_D8_S236 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753494_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/007/SRR22392907/SRR22392907.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/007/SRR22392907	I_D8_S236	
PRJNA904727	SAMN31851771	SRX18362931	SRR22392851	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753710	SINGLE	12666662	NextSeq 2000 sequencing: GSM6753710: II_D11_S335 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753710_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/051/SRR22392851/SRR22392851.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/051/SRR22392851	II_D11_S335	
PRJNA904727	SAMN31851991	SRX18363005	SRR22392951	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753490	SINGLE	5705668	NextSeq 2000 sequencing: GSM6753490: I_C7_S223 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753490_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/051/SRR22392951/SRR22392951.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/051/SRR22392951	I_C7_S223	
PRJNA904727	SAMN31851648	SRX18362870	SRR22392912	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753833	SINGLE	14839510	NextSeq 2000 sequencing: GSM6753833: III_E11_S59 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753833_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/012/SRR22392912/SRR22392912.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/012/SRR22392912	III_E11_S59	
PRJNA904727	SAMN31851661	SRX18362865	SRR22392917	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753820	SINGLE	9196358	NextSeq 2000 sequencing: GSM6753820: III_A10_S10 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753820_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/017/SRR22392917/SRR22392917.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/017/SRR22392917	III_A10_S10	
PRJNA904727	SAMN31851662	SRX18362864	SRR22392918	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753819	SINGLE	13686553	NextSeq 2000 sequencing: GSM6753819: II_H3_S375 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753819_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/018/SRR22392918/SRR22392918.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/018/SRR22392918	II_H3_S375	
PRJNA904727	SAMN31851663	SRX18362863	SRR22392919	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753818	SINGLE	13378215	NextSeq 2000 sequencing: GSM6753818: II_H2_S374 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753818_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/019/SRR22392919/SRR22392919.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/019/SRR22392919	II_H2_S374	
PRJNA904727	SAMN31851664	SRX18362862	SRR22392920	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753817	SINGLE	17518610	NextSeq 2000 sequencing: GSM6753817: II_H1_S373 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753817_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/020/SRR22392920/SRR22392920.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/020/SRR22392920	II_H1_S373	
PRJNA904727	SAMN31851665	SRX18362861	SRR22392921	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753816	SINGLE	11664794	NextSeq 2000 sequencing: GSM6753816: II_G3_S363 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753816_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/021/SRR22392921/SRR22392921.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/021/SRR22392921	II_G3_S363	
